model,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std
Instance mean,3,0.8587636932707355,0.00802272952050462,0.4425878946961701,0.026607451908489895
Mean pool (unweighted),3,0.8622848200312988,0.0031904355301838687,0.46510901507824,0.004260827360745643
Mean pool (weighted),3,0.860133020344288,0.005123552759666958,0.4467231625612486,0.01853541720386813
Attention (base),3,0.8693270735524257,0.01981641825059322,0.3812664775759833,0.05150697506820856
Attention (focal),3,0.8634585289514867,0.013690475905260319,0.4198548440048899,0.06616708210168017
Attention (full bag),3,0.8693270735524257,0.01981641825059322,0.3812664775759833,0.05150697506820856
"Top-k attention (k=16, train)",3,0.852699530516432,0.032346276477747994,0.4551357767365181,0.13949121750889523
"Attention + truncation (test, top-5%)",3,0.8689358372456963,0.018988064784616215,0.4148431113266157,0.07778295767121608
